,60.00%,80.00%,90.00%,99.00%
1430,1.317312,3.591389,11.898513,47.960406
1440,1.320237,3.573952,11.872067,48.175599
1450,1.317396,3.573570,11.816718,48.372471
1460,1.312187,3.579367,11.756545,48.508078
1470,1.320874,3.582800,11.695637,48.632442
1480,1.322572,3.581046,11.682657,48.756565
1490,1.320916,3.563957,11.783914,48.819978
1500,1.317832,3.558330,11.941394,48.875520
1510,1.317679,3.562949,12.040354,49.017247
1520,1.318602,3.559943,12.127879,49.181463
1530,1.316223,3.548512,12.130609,49.274162
1540,1.313262,3.538698,12.174024,49.371504
1550,1.319087,3.520299,12.186855,49.482876
1560,1.319594,3.508715,12.186974,49.632709
1570,1.321324,3.495985,12.196548,49.853510
1580,1.320592,3.490664,12.147245,50.125376
1590,1.319223,3.477344,12.081300,50.450338
1600,1.319143,3.469369,12.018059,50.794285
1610,1.314318,3.548424,11.952809,51.171221
1620,1.326438,3.554166,11.965404,51.539493
1630,1.323911,3.595152,11.961421,51.912384
1640,1.323674,3.584603,11.959779,52.370093
1650,1.324836,3.582592,11.909320,52.797188
1660,1.326818,3.593254,11.842725,53.255237
1670,1.322214,3.586646,11.786820,53.723551
1680,1.318118,3.584066,11.739118,54.253382
1690,1.316360,3.594503,11.676052,54.756651
1700,1.321237,3.598464,11.614797,55.316096
1710,1.323015,3.639893,11.565224,55.917680
1720,1.319733,3.637352,11.537998,56.415641
1730,1.317385,3.625050,11.486664,56.906755
1740,1.316425,3.627439,11.446124,57.408258
1750,1.315552,3.623412,11.395351,57.924433
1760,1.311873,3.611696,11.372121,58.435916
1770,1.322114,3.606124,11.347298,58.963532
1780,1.325896,3.594651,11.289940,59.593621
1790,1.321866,3.585496,11.241967,60.209736
1800,1.324770,3.633506,11.230481,60.793560
1810,1.331347,3.631748,11.184776,61.297826
1820,1.340530,3.620809,11.130328,61.808075
1830,1.340362,3.633083,11.075346,62.286037
1840,1.340680,3.627487,11.035680,62.763091
1850,1.340954,3.612522,10.997186,63.274884
1860,1.339843,3.604759,10.997592,63.767794
1870,1.337488,3.592554,10.980111,64.196049
1880,1.334594,3.593313,10.938986,64.587954
1890,1.332158,3.595690,10.895039,64.952629
1900,1.332524,3.620864,10.865416,65.304320
1910,1.336523,3.609152,10.819103,65.640862
1920,1.335491,3.612917,10.779184,65.958261
1930,1.335780,3.605468,10.770562,66.301403
1940,1.336605,3.594906,10.820280,66.670875
1950,1.343639,3.614328,10.865303,67.078127
1960,1.342799,3.693105,10.839535,67.552735
1970,1.343227,3.733221,10.806226,68.085902
1980,1.343196,3.720258,10.769768,68.614354
1990,1.340307,3.708779,10.731017,69.186878
2000,1.345710,3.707516,10.699509,69.877236
2010,1.343289,3.703548,10.673099,70.649396
2020,1.345623,3.695313,10.644349,71.386548
2030,1.344974,3.700259,10.611766,72.106023
2040,1.358239,3.698877,10.571323,72.824549
2050,1.358458,3.691224,10.547709,73.526164
2060,1.360010,3.684571,10.515944,74.172033
2070,1.355829,3.707983,10.492546,74.803104
2080,1.366350,3.726372,10.451726,75.389055
2090,1.366206,3.741503,10.412337,75.976453
2100,1.365167,3.807279,10.395067,76.612102
2110,1.369323,3.839061,10.383896,77.253853
2120,1.367167,3.829076,10.352184,77.912951
2130,1.366976,3.817912,10.320226,78.586968
2140,1.369011,3.804607,10.285378,79.243740
2150,1.367914,3.808267,10.291025,79.860572
2160,1.365204,3.819039,10.271559,80.461879
2170,1.369527,3.819477,10.243445,81.106309
2180,1.381691,3.810763,10.211723,81.773856
2190,1.385254,3.805075,10.201148,82.445553
2200,1.389998,3.801245,10.175461,83.116269
2210,1.395647,3.804379,10.143426,83.779716
2220,1.393973,3.806668,10.126377,84.443458
2230,1.391312,3.799284,10.098111,85.084827
2240,1.389526,3.801630,10.073510,85.722471
2250,1.386842,3.808608,10.039233,86.365312
2260,1.385567,3.803025,10.000205,86.943303
2270,1.382493,3.792715,9.965946,87.473101
2280,1.392155,3.784257,9.932715,88.016213
2290,1.391616,3.778674,9.903449,88.551665
2300,1.391938,3.770436,9.918484,89.043644
2310,1.389789,3.768596,9.919822,89.474375
2320,1.388572,3.780739,9.938145,89.858882
2330,1.389967,3.774527,9.940908,90.197984
2340,1.386783,3.764490,9.956361,90.586015
2350,1.386152,3.753726,9.954373,90.979410
2360,1.390688,3.765801,9.970997,91.335927
2370,1.386975,3.758875,10.019637,91.677311
2380,1.384570,3.748960,10.125511,92.005363
2390,1.383055,3.775171,10.238920,92.387650
2400,1.386957,3.769510,10.337850,92.766034
2410,1.387668,3.756517,10.411838,93.135593
2420,1.390514,3.762514,10.457932,93.510512
2430,1.389512,3.756257,10.432374,93.891907
2440,1.389274,3.746014,10.411957,94.254455
2450,1.395149,3.749607,10.387754,94.669844
2460,1.395896,3.746645,10.367553,95.115638
2470,1.396122,3.735663,10.349223,95.537093
2480,1.396182,3.728164,10.324168,95.970977
2490,1.395261,3.721073,10.298248,96.414428
2500,1.397051,3.714842,10.275548,96.856046
2510,1.395486,3.718590,10.282124,97.276317
2520,1.391719,3.719793,10.336285,97.669636
2530,1.395954,3.726682,10.398343,98.063213
2540,1.401318,3.743016,10.432792,98.487847
2550,1.400434,3.740764,10.412618,98.976615
