,60.0%,80.0%,90.0%,99.0%
1430,0.567982,0.780608,0.906331,0.981387
1440,0.568872,0.778788,0.906788,0.981517
1450,0.568674,0.779043,0.906470,0.981643
1460,0.567443,0.779186,0.905479,0.981772
1470,0.567974,0.779675,0.904929,0.981900
1480,0.567785,0.780041,0.905262,0.982015
1490,0.567894,0.778680,0.905915,0.982138
1500,0.567532,0.779313,0.906523,0.982260
1510,0.567831,0.779805,0.907144,0.982381
1520,0.568339,0.778967,0.907788,0.982489
1530,0.567774,0.778777,0.908366,0.982603
1540,0.567103,0.778231,0.908965,0.982718
1550,0.568220,0.776446,0.909540,0.982830
1560,0.567837,0.776145,0.910116,0.982941
1570,0.568601,0.775771,0.910688,0.983046
1580,0.568845,0.775621,0.910295,0.983155
1590,0.568540,0.774935,0.908931,0.983260
1600,0.569097,0.774927,0.908234,0.983365
1610,0.568045,0.776277,0.906488,0.983467
1620,0.569331,0.775262,0.907061,0.983570
1630,0.569349,0.776063,0.907633,0.983670
1640,0.568804,0.775247,0.908197,0.983770
1650,0.569544,0.775840,0.908236,0.983870
1660,0.570186,0.775945,0.906012,0.983965
1670,0.568942,0.775875,0.905604,0.984062
1680,0.567857,0.776151,0.905188,0.984157
1690,0.567680,0.776965,0.903435,0.984250
1700,0.568569,0.777792,0.902028,0.984343
1710,0.569199,0.779081,0.901632,0.984435
1720,0.569074,0.779743,0.902162,0.984524
1730,0.568571,0.779351,0.901880,0.984617
1740,0.569078,0.780396,0.902000,0.984706
1750,0.568752,0.780935,0.901314,0.984791
1760,0.568025,0.780509,0.901698,0.984876
1770,0.568541,0.780593,0.900803,0.984962
1780,0.569208,0.780133,0.898930,0.985046
1790,0.568711,0.779086,0.897886,0.985131
1800,0.569264,0.780307,0.898464,0.985212
1810,0.570265,0.780394,0.898224,0.985297
1820,0.571929,0.779323,0.896943,0.985375
1830,0.571610,0.780478,0.895676,0.985456
1840,0.572221,0.780504,0.896107,0.985534
1850,0.572082,0.779240,0.896233,0.985614
1860,0.572025,0.779322,0.896787,0.985690
1870,0.571925,0.778527,0.897053,0.985766
1880,0.571434,0.779046,0.896568,0.985843
1890,0.570390,0.779449,0.896474,0.985922
1900,0.571017,0.780581,0.896955,0.985995
1910,0.571779,0.780213,0.896341,0.986064
1920,0.571766,0.781169,0.896552,0.986138
1930,0.572319,0.781199,0.896736,0.986211
1940,0.572790,0.780684,0.897268,0.986281
1950,0.573721,0.781679,0.897798,0.986350
1960,0.573533,0.782818,0.898038,0.986422
1970,0.574038,0.783426,0.898377,0.986492
1980,0.574055,0.782191,0.897775,0.986557
1990,0.573634,0.781580,0.897399,0.986625
2000,0.574267,0.782218,0.896864,0.986692
2010,0.573644,0.782800,0.897134,0.986757
2020,0.574178,0.782382,0.897277,0.986826
2030,0.574509,0.783196,0.897086,0.986888
2040,0.575649,0.783224,0.896989,0.986952
2050,0.576079,0.783125,0.897251,0.987015
2060,0.576402,0.783010,0.897701,0.987080
2070,0.575577,0.783995,0.897968,0.987142
2080,0.576927,0.784869,0.897394,0.987204
2090,0.576999,0.785555,0.896731,0.987268
2100,0.577092,0.786557,0.897224,0.987325
2110,0.577136,0.787566,0.897705,0.987385
2120,0.576950,0.787215,0.897120,0.987444
2130,0.577116,0.787133,0.896314,0.987504
2140,0.577708,0.786118,0.895762,0.987563
2150,0.578075,0.786099,0.896129,0.987621
2160,0.577633,0.786230,0.896441,0.987678
2170,0.578054,0.785951,0.895922,0.987739
2180,0.578854,0.785374,0.895380,0.987790
2190,0.579506,0.785173,0.895435,0.987847
2200,0.579443,0.785541,0.895572,0.987901
2210,0.580166,0.785569,0.895557,0.987957
2220,0.579953,0.785857,0.896029,0.988010
2230,0.579487,0.785677,0.895598,0.988065
2240,0.579725,0.785789,0.895033,0.988120
2250,0.579410,0.786487,0.894077,0.988170
2260,0.579392,0.786180,0.892972,0.988223
2270,0.578916,0.785710,0.892521,0.988276
2280,0.579512,0.785908,0.892544,0.988325
2290,0.579903,0.785956,0.892478,0.988380
2300,0.580384,0.785920,0.892948,0.988427
2310,0.580423,0.785799,0.893434,0.988477
2320,0.580302,0.786718,0.893870,0.988527
2330,0.580812,0.786497,0.894323,0.988579
2340,0.580365,0.786166,0.894790,0.988625
2350,0.580520,0.785417,0.895223,0.988675
2360,0.580928,0.785993,0.895676,0.988722
2370,0.580302,0.785801,0.896109,0.988769
2380,0.580182,0.785282,0.896553,0.988817
2390,0.580220,0.785998,0.896979,0.988863
2400,0.580739,0.785670,0.897411,0.988910
2410,0.580360,0.784372,0.897847,0.988957
2420,0.580587,0.784717,0.898252,0.989002
2430,0.580379,0.784680,0.897760,0.989048
2440,0.580581,0.784347,0.897887,0.989092
2450,0.581374,0.784776,0.897882,0.989136
2460,0.581948,0.784569,0.898203,0.989180
2470,0.582169,0.783774,0.898337,0.989224
2480,0.582478,0.783434,0.898246,0.989267
2490,0.582668,0.783733,0.898492,0.989310
2500,0.583342,0.783966,0.898836,0.989356
2510,0.583226,0.784468,0.899249,0.989395
2520,0.582251,0.785068,0.899648,0.989438
2530,0.582771,0.785264,0.900067,0.989479
2540,0.583313,0.786090,0.900438,0.989521
2550,0.583276,0.786223,0.900566,0.989562
2560,0.582766,0.786179,0.900856,0.989603
2570,0.582402,0.786543,0.900578,0.989644
